Mic,light,mQ135,temprature,humidity,situation
638,485,327,24,28,M
647,455,326,24,27,M
628,458,326,24,28,M
395,475,329,24,28,M
303,478,330,24,28,M
332,462,328,24,28,M
275,473,328,24,28,M
249,481,326,24,28,M
316,478,325,24,28,M
215,470,324,24,28,M
304,463,322,24,28,M
426,460,323,24,28,M
472,456,319,24,28,M
261,463,319,24,27,M
218,469,322,24,27,M
639,467,319,24,27,M
219,463,320,24,27,M
245,459,320,24,27,M
257,458,318,24,27,M
642,450,318,24,28,M
612,473,318,24,28,M
236,474,318,24,28,M
623,474,316,24,28,M
258,465,317,24,28,M
212,461,314,24,28,M
254,464,315,24,27,M
637,456,316,24,28,M
212,456,314,24,28,M
316,463,312,24,28,M
643,460,312,24,28,M
497,466,313,24,28,M
243,465,313,24,28,M
246,483,312,24,28,M
225,489,312,24,28,M
599,481,311,24,28,M
221,460,310,24,28,M
579,480,307,24,28,M
565,485,308,24,28,M
259,477,307,24,28,M
212,492,308,24,28,M
393,493,306,24,28,M
346,491,306,24,28,M
623,491,304,24,28,M
338,489,304,24,28,M
224,488,305,24,28,M
216,489,304,24,28,M
248,469,303,24,28,M
639,472,303,24,28,M
528,478,302,24,28,M
610,476,302,24,28,M
488,479,302,24,28,M
215,483,302,24,28,M
597,482,302,24,28,M
231,497,302,24,28,M
593,489,300,24,28,M
513,486,303,24,28,M
477,486,303,24,28,M
365,487,303,24,28,M
645,492,301,24,28,M
327,498,302,24,28,M
601,498,302,24,29,M
646,497,302,24,28,M
628,494,302,24,29,M
409,496,300,24,29,M
639,501,302,24,29,M
231,493,301,24,29,M
341,486,299,24,29,M
646,485,301,24,29,M
250,487,301,24,29,M
247,493,300,24,29,M
263,497,300,24,29,M
461,487,301,24,29,M
638,484,298,24,28,M
219,481,299,24,28,M
496,481,300,25,27,M
589,474,299,24,28,M
612,475,300,25,27,M
219,478,299,25,27,M
572,482,299,25,27,M
637,492,299,24,28,M
363,494,298,24,28,M
650,499,298,24,28,M
647,492,295,24,28,M
647,497,297,24,29,M
232,495,297,24,29,M
253,492,296,24,30,M
380,487,296,24,29,M
644,470,295,24,29,M
604,469,297,25,28,M
264,472,296,25,28,M
263,478,296,24,29,M
548,508,296,25,28,M
629,509,296,25,28,M
369,507,295,25,28,M
221,501,296,24,29,M
264,498,296,24,30,M
243,500,295,25,29,M
627,504,295,25,28,M
243,512,294,24,29,M
453,523,293,25,28,M
613,526,293,25,28,M
258,522,293,25,28,M
222,522,293,25,28,M
641,527,293,25,28,M
233,527,294,25,27,M
220,531,293,25,28,M
622,543,293,25,28,M
611,540,293,25,28,M
573,534,291,25,28,M
634,530,291,25,28,M
620,530,292,25,27,M
230,542,292,25,27,M
549,552,292,25,27,M
604,548,291,25,27,M
645,549,291,24,29,M
651,553,291,25,28,M
295,550,290,25,28,M
258,552,290,25,27,M
320,556,290,25,27,M
249,558,288,25,28,M
220,555,290,25,27,M
652,557,289,25,28,M
612,561,290,25,28,M
620,569,289,25,28,M
632,570,289,25,28,M
256,577,288,25,27,M
346,580,287,25,27,M
550,581,287,25,28,M
224,578,286,25,28,M
261,573,288,25,28,M
264,570,288,25,28,M
240,570,286,25,28,M
621,579,289,25,28,M
283,591,289,25,28,M
573,601,287,25,28,M
226,606,287,25,28,M
646,603,286,25,28,M
436,593,286,25,27,M
245,595,286,25,28,M
251,591,287,25,28,M
222,590,284,25,27,M
258,603,284,25,28,M
334,611,286,25,28,M
641,612,284,25,28,M
653,599,287,25,28,M
617,593,285,25,28,M
223,589,285,25,27,M
256,594,286,25,28,M
325,602,287,25,28,M
648,612,287,25,28,M
293,625,284,25,28,M
278,630,285,25,28,M
398,616,285,25,28,M
236,663,286,25,28,M
653,608,284,25,27,M
654,586,281,25,27,M
232,597,282,25,27,M
623,591,285,25,27,M
641,578,285,25,27,M
270,585,283,25,27,M
388,585,283,25,28,M
627,573,283,25,27,M
283,586,284,25,27,M
654,605,283,25,28,M
226,582,283,25,28,M
640,596,282,25,28,M
274,607,283,25,28,M
255,581,283,25,27,M
445,575,284,25,27,M
532,562,284,24,28,M
225,566,284,24,30,M
224,563,281,24,30,M
226,552,283,24,30,M
229,546,281,24,29,M
236,548,280,24,29,M
222,613,281,24,29,M
229,569,279,24,30,M
221,578,278,24,29,M
254,615,279,24,29,M
631,612,278,24,29,M
266,630,277,24,28,M
600,637,276,24,30,M
441,631,277,24,30,M
643,631,275,24,29,M
262,626,276,24,30,M
396,643,275,24,30,M
614,637,274,24,30,M
572,606,275,24,30,M
221,633,275,24,30,M
264,640,274,24,30,M
586,619,272,24,29,M
531,644,270,24,29,M
219,646,271,24,28,M
294,640,273,24,28,M
260,592,271,24,28,M
219,587,272,24,28,M
219,609,269,24,28,M
365,560,270,24,28,M
848,519,204,23,15,M
847,519,203,23,16,M
846,518,202,23,16,M
848,517,205,23,16,M
847,518,202,23,16,M
849,518,204,22,17,M
847,518,204,22,17,M
848,518,204,22,17,M
848,520,204,22,17,M
847,522,204,22,17,M
847,527,202,22,17,M
849,533,204,22,17,M
849,541,205,22,17,M
848,550,204,22,17,M
849,557,205,22,17,M
847,560,203,22,17,M
848,570,205,22,17,M
849,574,206,22,17,M
848,575,205,22,17,M
848,576,205,22,17,M
848,574,205,22,17,M
848,576,205,22,17,M
846,569,203,22,17,M
849,568,205,22,17,M
848,574,205,22,17,M
849,561,203,22,17,M
848,564,205,22,17,M
847,573,205,22,17,M
849,573,205,22,17,M
848,574,205,22,17,M
849,575,205,22,17,M
848,577,205,22,17,M
848,579,205,22,17,M
848,580,205,22,17,M
849,580,206,22,17,M
848,580,205,22,17,M
848,580,206,22,17,M
850,577,205,22,17,M
849,575,206,22,17,M
849,573,206,22,17,M
848,572,205,22,17,M
848,566,205,22,17,M
848,570,205,22,17,M
848,568,206,22,17,M
849,567,206,22,17,M
850,565,206,22,17,M
847,566,205,22,17,M
848,568,206,22,17,M
849,568,206,22,17,M
849,568,206,22,17,M
849,567,206,22,17,M
849,563,206,22,17,M
849,559,205,22,17,M
848,554,206,22,17,M
848,549,206,22,17,M
848,543,206,22,17,M
849,539,206,22,17,M
849,535,206,22,17,M
848,531,207,22,17,M
847,528,204,22,17,M
848,525,206,22,17,M
848,522,206,22,17,M
848,519,206,22,17,M
849,515,207,22,17,M
846,511,205,22,17,M
849,509,207,22,17,M
848,508,207,22,17,M
847,505,206,22,17,M
848,502,207,22,17,M
849,505,207,22,17,M
